,avg_11,avg_22,avg_33,avg_44,avg_55,avg_66,avg_77,avg_88,avg_365
1018359,0,0.8,1.2,0.6,1.2,0.6,3.25,61.8,0.2
975335,0,2,2,0.2,1.8,13,7,8.6,3.2
4400735,0,0,0,0,0,0.8,0,0,0.9
545721,0,0,0,0,0.2,1.4,0.5,0,0
856135,0,0,0,0,0.2,0.8,0,0,0
951659,0.2,45.4,0,0.6,0.2,12,33.25,1.4,2.7
952171,0,0,0,0,0,0,1,0,0
2750874,1.2,44.4,24.4,14,57.2,50.8,2.25,38.2,11.4
81798,0,0,0,0,0,0,0,0,0.3
1048870,0,0,0,0,0,0,0,0,0
146138,0,0,0,0,0,0,0,0,0
4306989,0,0,0,0,0.4,0.4,2.5,1,1.4
984707,0,0,2.8,63.6,22.4,0,40,47.4,1.5
511866,0.2,0.2,1,15.6,107.2,107.6,935.25,107.8,15.9
4427678,0,0.2,0,0,0,7.8,0,4,0.9
4382605,0,0,0,0,0,0.4,0,3.2,0
325365,0,0,0,0,0,0,0,0,0.2
82403,0,0,0,0,0,3.4,0,0.2,0.4
772410,0,0,0,0,0,0,0,0.4,54.3
2792167,0,0,0,0,0,0,0,0,0
834363,0,0,0,0,0,0,0,0,0.7
4457836,0,0,0,0,0,0,0,0,32.3
853114,0,0,0,0,0,0,0,0,8.5
967097,0,0,0.8,0,3,0.4,0,0,1.5
4462567,0,0,0,0,0,0,0,0,0
1689895,15.4,0,0,0,0,0,0,0,0
1129515,0,0,0,36.6,0,0,0,0,0
594013,0,0,0,0,0,0,0,0,0
141868,0,0,0,0,0,0,0,0,0
1124030,0,0,0,0,0,0,0,0,2.8
4296430,0,0,0,0,0,0.4,0,0.6,1.5
1064410,0,0,0,0,0,0.4,0,0,0.1
1637549,0,0,0,0,0.2,0,0,0,2.6
2578886,0,0,0,0,0,0.2,0.25,0,0
4187388,0,0,0,0,0,18.2,2.25,0.4,0
445860,0,0,0,0.2,0,1.8,0.25,1,0.1
789394,0,0,0,0,0,0,0,0,2.6
736771,0,0,0,7.8,0.6,0,0,48.4,9.3
693348,0,0,0,0,0,0.6,1.25,0,30.6
1069370,0,0,0,0,0,0,0,0,0.5
892993,0,0,0,0,0,75.8,0,0,0
1077505,0,0,0,0,0,0,0,0,0
1857060,0,0,0,0,0,0,0,0,0
852162,0,0,0,0,0,0,0,0,0
866836,0,0,0,0,0,3,4.25,0,0
957330,0,0,0,0,0,0,0,0,0
211578,0,0,0,0,0,0,0,0,1.9
612951,0,0,0,0,0,0,0,0,0
3270462,0,0,0,0,0,0,0,0,0
57713,0,0,0,0,0,1.4,0,0,22.2
440096,0,0,0,0,0,0,0,0,1
4371107,0,0,0,0,0,0,0,0.2,0
778762,0,0,0,0,0.2,0.6,1,2.2,0
211507,0,0,0,0,0.2,0,0,0,0.1
945321,0,0,0,0,0.4,3.4,6,0.2,0
247758,0,0,0,0,0,0,0,0,0
12798,0,0,0,0.4,0,1,0,0.8,0
4468125,0,0.8,373.4,55.2,43.8,47.2,31.25,22,49.6
875451,0,0.8,10,1.6,4.2,1,1.25,1.2,1.4
543675,0,0,2.8,20.2,18.8,12.8,11.25,0.2,4.3
13047,0,0,0,0,0.4,1.4,0.25,1.2,0.3
4459446,0,0,0,0,0,0,0,0,3.8
815498,0,0,0,0,0.4,0,0,0,0
552685,0,0,0,0,0,0.2,0.5,0.2,1.4
11431,0,0,0,0,0,0,0,0,0
4442910,0,0,0,0,0,0,0,1.6,0
4416592,0,0,0,0,0,0,0,0,0
4339720,0,0,1,2.6,4,1.6,1.5,11.6,0
739867,0,0.2,6.2,2.2,6.6,6.4,1.75,2.6,0.1
12221,0,0,0,0,0.2,0,0,1.2,0.2
1144585,0,0.6,2,0.4,5.6,3.4,3.25,4,0.7
635096,0,0.2,1.2,0.4,2,0.4,0.5,0.2,0.3
935688,0,0,0,0,46.2,7.4,7.75,95.2,16.9
170834,0,0,0,0,1.6,0,0,1.2,0.6
